epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.75,1.30395,2.10389,1.20956,0.61117,0.28903,0.3635,0.22628,1.17024,2.58843,1.20312,0.000654971,0.000654971,0.000654971
2,648.02,1.23742,1.53331,1.1492,0.49489,0.54414,0.49996,0.28349,1.35894,1.96007,1.29338,0.00129547,0.00129547,0.00129547
3,983.918,1.21852,1.44319,1.15694,0.57533,0.62268,0.59529,0.34741,1.35115,1.75028,1.35414,0.00190957,0.00190957,0.00190957
4,1323.5,1.20993,1.31263,1.13977,0.54292,0.61106,0.54483,0.34326,1.32922,2.47928,1.39499,0.0018812,0.0018812,0.0018812
5,1657.38,1.18899,1.22258,1.14603,0.52455,0.60547,0.51586,0.31908,1.32727,1.80681,1.36683,0.0018416,0.0018416,0.0018416
6,1991.54,1.12883,1.14904,1.11673,0.59079,0.62128,0.60165,0.37819,1.27856,1.74253,1.30825,0.001802,0.001802,0.001802
7,2351.44,1.14793,1.13755,1.12718,0.58118,0.61849,0.60356,0.39654,1.1768,1.99311,1.24597,0.0017624,0.0017624,0.0017624
8,2685.86,1.11631,1.05811,1.0979,0.66366,0.68216,0.69764,0.45809,1.16305,1.48124,1.1662,0.0017228,0.0017228,0.0017228
9,3019.04,1.09558,1.03417,1.08806,0.65018,0.66729,0.64715,0.40727,1.28228,1.49923,1.28977,0.0016832,0.0016832,0.0016832
10,3371.8,1.04986,0.97557,1.06773,0.68769,0.72584,0.73263,0.48948,1.10573,1.54572,1.15124,0.0016436,0.0016436,0.0016436
11,3728.49,1.02449,0.93945,1.05625,0.60002,0.69656,0.62722,0.41709,1.16734,1.72018,1.2226,0.001604,0.001604,0.001604
12,4062.43,1.0182,0.91486,1.04468,0.6903,0.73095,0.73531,0.5078,1.11008,1.16778,1.1944,0.0015644,0.0015644,0.0015644
13,4396.85,1.0121,0.90077,1.04961,0.67512,0.68169,0.7,0.48265,1.13087,1.38922,1.22024,0.0015248,0.0015248,0.0015248
14,4732.62,0.97428,0.86914,1.02849,0.62884,0.76533,0.69348,0.47701,1.04833,1.74934,1.12205,0.0014852,0.0014852,0.0014852
15,5075.66,0.94698,0.83048,1.02134,0.68099,0.7277,0.74934,0.5106,1.15842,1.27111,1.19455,0.0014456,0.0014456,0.0014456
16,5438.23,0.95726,0.825,1.01417,0.70242,0.77509,0.76984,0.54745,1.02175,1.08915,1.08367,0.001406,0.001406,0.001406
17,5765.27,0.91064,0.78079,0.99584,0.7247,0.73281,0.76594,0.53812,1.02394,1.1146,1.10929,0.0013664,0.0013664,0.0013664
18,6090.59,0.90054,0.76048,1.00664,0.69375,0.76003,0.76024,0.54611,1.06928,1.09673,1.13543,0.0013268,0.0013268,0.0013268
19,6400.07,0.89415,0.75396,0.99793,0.7318,0.76069,0.79511,0.57413,0.97703,1.00141,1.08182,0.0012872,0.0012872,0.0012872
20,6706.7,0.85898,0.72317,0.98603,0.71094,0.75558,0.77129,0.55779,1.00751,1.15916,1.11222,0.0012476,0.0012476,0.0012476
21,6995.35,0.84215,0.71174,0.97631,0.71555,0.7633,0.77229,0.56033,0.97875,1.03787,1.0944,0.001208,0.001208,0.001208
22,7277.98,0.85729,0.70493,0.97835,0.75206,0.78903,0.81468,0.5934,0.97621,0.92737,1.07612,0.0011684,0.0011684,0.0011684
23,7560.85,0.84255,0.6884,0.98055,0.75653,0.75325,0.80487,0.58943,0.94312,0.93459,1.08318,0.0011288,0.0011288,0.0011288
24,7842.38,0.8187,0.66673,0.96755,0.7754,0.74675,0.80806,0.59425,1.02224,0.9892,1.14456,0.0010892,0.0010892,0.0010892
25,8125.29,0.83681,0.68682,0.98324,0.77473,0.75465,0.80854,0.60384,0.94119,0.91798,1.05771,0.0010496,0.0010496,0.0010496
26,8407.44,0.7819,0.63709,0.95733,0.74589,0.80474,0.81881,0.60695,0.92972,0.90354,1.05898,0.00101,0.00101,0.00101
27,8689.2,0.77296,0.6362,0.94957,0.75807,0.76533,0.81073,0.59942,1.00499,0.93006,1.10255,0.0009704,0.0009704,0.0009704
28,8970.92,0.77321,0.63659,0.95683,0.76427,0.79926,0.82633,0.61627,0.94657,0.98062,1.04753,0.0009308,0.0009308,0.0009308
29,9252.89,0.77053,0.65591,0.9534,0.76549,0.77277,0.82326,0.61801,0.98568,0.96422,1.12088,0.0008912,0.0008912,0.0008912
30,9534.15,0.74967,0.62459,0.94789,0.77376,0.81531,0.83936,0.62712,0.90201,0.92627,1.04635,0.0008516,0.0008516,0.0008516
31,9815.9,0.7321,0.59459,0.94066,0.76966,0.81827,0.83762,0.63745,0.87702,0.87894,1.02982,0.000812,0.000812,0.000812
32,10230.4,0.72558,0.5788,0.93699,0.79473,0.80994,0.85513,0.65266,0.88727,0.80748,1.03077,0.0007724,0.0007724,0.0007724
33,27209,0.70977,0.56319,0.92797,0.79418,0.80762,0.84772,0.64916,0.85699,0.84791,1.0179,0.0007328,0.0007328,0.0007328
34,27469.2,0.72178,0.57351,0.9337,0.78109,0.83271,0.86141,0.66317,0.87043,0.83089,1.02084,0.0006932,0.0006932,0.0006932
35,27789.7,0.72019,0.5654,0.93671,0.80738,0.78578,0.85234,0.65485,0.89482,0.80483,1.01397,0.0006536,0.0006536,0.0006536
36,28071.1,0.68714,0.53727,0.92248,0.82206,0.78439,0.86199,0.67014,0.86346,0.7779,1.0155,0.000614,0.000614,0.000614
37,28353.3,0.68431,0.54148,0.92346,0.79398,0.82381,0.86845,0.67416,0.88966,0.7727,1.02234,0.0005744,0.0005744,0.0005744
38,28635.9,0.66803,0.53299,0.91842,0.79978,0.80901,0.86632,0.67514,0.87541,0.7579,1.02065,0.0005348,0.0005348,0.0005348
39,28918.9,0.66984,0.53422,0.91373,0.79486,0.83724,0.87899,0.67738,0.91529,0.74656,1.04988,0.0004952,0.0004952,0.0004952
40,29202,0.65577,0.51534,0.91415,0.79451,0.83411,0.87199,0.67482,0.8962,0.76484,1.03033,0.0004556,0.0004556,0.0004556
41,29479.9,0.94324,0.89098,1.05537,0.72942,0.823,0.83176,0.63409,0.84589,0.95022,1.00612,0.000416,0.000416,0.000416
42,29757.8,0.93236,0.84882,1.04452,0.79036,0.84387,0.87255,0.67576,0.80513,0.84736,0.97798,0.0003764,0.0003764,0.0003764
43,30036,0.88113,0.78773,1.01855,0.79942,0.83968,0.87687,0.68348,0.81501,0.75392,0.97406,0.0003368,0.0003368,0.0003368
44,30314.1,0.87015,0.7766,0.99795,0.82544,0.84595,0.8939,0.70717,0.79454,0.6909,0.96846,0.0002972,0.0002972,0.0002972
45,30591.9,0.86271,0.76493,1.01148,0.82267,0.86524,0.90176,0.71648,0.76599,0.68958,0.95799,0.0002576,0.0002576,0.0002576
46,30870.3,0.84569,0.73091,0.99484,0.84742,0.85685,0.90891,0.72756,0.75362,0.6555,0.95211,0.000218,0.000218,0.000218
